Course Number,Course Name,Area,Econ,Tech,Intel,IS,Mil Ops,TSV,USNP,Other,Notes
SEST-6747,Chinese National Security ,AREA,,,,IS,,,,,
SEST-6748,"China, BRI and Strategic Competition",AREA,ECON,,,IS,,,,,
SEST-6749,Israel/Palest: Contemp Conflict,AREA,,,,IS,,TSV,USNP,,
SEST-6750,Persian Gulf Security,AREA,,,,IS,,,,,
SEST-6751,Cyber Threat Intel and Nat Sec,,,TECH,,,,,,,
SEST-6752,National Security Space Policy & Technology,,,TECH,,,MIL OPS,,USNP,,
SEST-6753,U.S. Alliances and Defense Diplomacy in East Asia,AREA,,,,IS,,,USNP,,
SEST-6754,Taiwan & US Policy,AREA,,,,IS,,,USNP,,
SEST-6756,Software-Defined Warfare,,,TECH,,,MILOPS,,,,
SEST-6757,US Nat Sec & Intel Policy,,,,INTEL,,,,USNP,,
SEST-6759,Israeli National Security Strategy,AREA,,,,IS,,,,,
SEST-6762,Critical Minerals & National Security,,ECON,,,IS,,,USNP,,
SEST-6763,Russian Security State,AREA,,,,IS,,,,,
SEST-6764,Runet to Cyberwar,AREA,,,,IS,,,,,
SEST-6765,US Russia Foreign Policy,AREA,,,,IS,,,,,
SEST-6766,Citizen Security & Democracy in Latin America,AREA,,,,IS,,,,,
SEST-6768,IR & NewRegionalism:LatAmCarib,AREA,,,,IS,,,,,
SEST-6769,China's Evolving Role in Africa,AREA,,,,IS,,,,,
SEST-6770,US Policy in Africa,AREA,,,,IS,,,,,
SEST 6771,Nuclear Age in the Middle East,AREA,,,,IS,,,,,
SEST-7100,Research Seminar,,,,,,,,,,
SEST-7101,Writing for Publication,,,,,,,,,,
SEST-7102,Writing for Publication: Irregular Warfare (IW),,,,,,MIL OPS,TSV,,,
SEST-7925,SSP Internship Tutorial,,,,,,,,,,"Offered every Fall, Spring, and Summer semester for students requiring academic internship credit"
SEST-8701,Hacking for Defense ,,,TECH,,,,,USNP,,Formerly SEST-6701. 
SEST-8670,Python for Machine Learning,,,TECH,,,,,,,
SEST-6410,Technology & National Security,,,TECH,,,,,,,
SEST-6704,Weaponized Migration,,,,,IS,,,,,
SEST-6761,Industrial Tools & Nat Sec Pol,,ECON,,,,,,USNP,,
SEST-6772,Logistics for Policymakers,,,,,IS,,,,,
SEST-6773,Democrats Dictators & Development in Africa,AREA,,,,IS,,,,,
